slot,source_time,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh
1,00:10:00,0.4248,3439.8466,0,573.3077666666666,0.0
2,00:20:00,0.4245,3437.9792,0,572.9965333333333,0.0
3,00:30:00,0.4269,3444.3031,0,574.0505166666667,0.0
4,00:40:00,0.4272,3454.4437,0,575.7406166666666,0.0
5,00:50:00,0.4271,3458.8273,0,576.4712166666666,0.0
6,01:00:00,0.4285,3459.8401,0,576.6400166666666,0.0
7,01:10:00,0.4311,3467.1582,0,577.8597,0.0
8,01:20:00,0.4302,3467.9632,0,577.9938666666667,0.0
9,01:30:00,0.4279,3466.9683,0,577.82805,0.0
10,01:40:00,0.4312,3482.4927,0,580.41545,0.0
11,01:50:00,0.4333,3495.0841,0,582.5140166666666,0.0
12,02:00:00,0.4311,3498.4443,0,583.0740499999999,0.0
13,02:10:00,0.4293,3505.2295,0,584.2049166666666,0.0
14,02:20:00,0.4324,3512.6387,0,585.4397833333333,0.0
15,02:30:00,0.4367,3516.8685,0,586.1447499999999,0.0
16,02:40:00,0.4348,3517.9246,0,586.3207666666666,0.0
17,02:50:00,0.4335,3518.5518,0,586.4253,0.0
18,03:00:00,0.4357,3521.0976,0,586.8496,0.0
19,03:10:00,0.4374,3526.9261,0,587.8210166666667,0.0
20,03:20:00,0.4371,3537.2854,0,589.5475666666666,0.0
21,03:30:00,0.4356,3544.8808,0,590.8134666666666,0.0
22,03:40:00,0.4353,3541.2787,0,590.2131166666666,0.0
23,03:50:00,0.436,3546.3976,0,591.0662666666666,0.0
24,04:00:00,0.4378,3560.207,0,593.3678333333332,0.0
25,04:10:00,0.4401,3561.9581,0,593.6596833333333,0.0
26,04:20:00,0.4389,3556.7183,0,592.7863833333333,0.0
27,04:30:00,0.4364,3560.0272,0,593.3378666666666,0.0
28,04:40:00,0.4393,3580.654,0.5994,596.7756666666667,0.0999
29,04:50:00,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333
30,05:00:00,0.4395,3571.2635,0.2885,595.2105833333333,0.048083333333333325
31,05:10:00,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668
32,05:20:00,0.4439,3591.3809,54.4698,598.5634833333334,9.078299999999999
33,05:30:00,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666665
34,05:40:00,0.3713,3486.119,184.1603,581.0198333333333,30.693383333333333
35,05:50:00,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667
36,06:00:00,0.9099,4398.0727,388.5494,733.0121166666665,64.75823333333332
37,06:10:00,0.9368,4454.0123,521.2803,742.3353833333333,86.88005
38,06:20:00,0.8758,4371.7919,672.7677,728.6319833333333,112.12795
39,06:30:00,0.8759,4392.953,844.2261,732.1588333333334,140.70434999999998
